0-RTT(ms),1-RTT(ms)
31.9903,52.6918
25.0084,49.1534
23.0001,46.3282
75.021,58.7954
25.2102,52.1909
25.0513,50.9819
95.8714,65.917
33.7525,45.9815
28.9808,42.8874
21.9902,48.9709
22.9856,48.3204
23.3027,44.0256
26.8871,48.5189
23.9847,53.299
26.9826,48.0285
22.6663,54.0313
24.9951,43.9732
25.9825,48.7956
31.9795,47.7838
83.9436,51.039
25.9838,43.4614
23.9851,56.4256
22.9848,43.9123
25.9845,52.966
23.9848,49.0388
32.0525,54.9743
25.0052,47.0423
23.9952,45.9708
49.0417,50.9974
23.9756,46.9945
94.9633,48.0109
23.9853,53.9674
77.9804,48.9702
26.1051,46.9712
24.9898,52.9669
59.3374,45.9703
23.0565,45.0127
22.9864,52.9456
23.9895,45.512
26.9828,56.9657
23.2267,46.0977
25.3558,47.0208
26.0565,63.9571
22.9859,48.9736
52.0455,53.069
24.9849,48.9575
23.0574,44.0465
24.9835,48.479
21.9877,54.937
26.9927,43.013
27.0097,51.0582
22.9829,50.0097
28.018,51.9987
22.1835,44.9531
26.9278,49.9694
22.9862,49.9691
22.3013,42.7773
25.8753,44.0013
75.9726,46.1592
22.9994,46.9796
25.0006,51.9293
22.0774,45.9489
26.9983,47.0005
23.027,49.6561
83.5469,56.4842
46.4793,49.1028
25.9173,47.0371
23.9977,52.9892
27.9832,50.6299
22.9865,44.2268
22.9484,45.0299
27.8523,48.9815
23.9854,53.1865
22.0036,44.8927
24.9849,46.9877
24.9852,50.0347
57.0369,45.8772
25.9602,63.7479
25.9881,49.7014
24.0151,46.9731
22.9867,44.5977
27.0087,47.0514
22.0347,53.2255
22.9852,44.6191
26.9837,44.9696
23.9849,49.9697
26.9839,45.1878
25.9844,55.9781
33.0319,48.0147
23.9839,48.9685
24.985,52.9973
26.7045,43.3244
23.9853,45.9794
24.9852,48.0634
23.9853,48.9689
87.5582,48.8767
48.9844,45.9727
25.9862,48.9697
